country,iso3,disaster_type,alert_level,severity,population,historical_disaster_count,average_deaths,average_affected_population,aid_received_usd,aid_dependency_percent_gni,historical_risk_score,real_time_severity_score,financial_dependency_score,vulnerability_index,risk_category,critical_resource_gap,response_recommendation,start_date,end_date
Northern Mariana Is.,MNP,EQ,Green,,,5.0,2.5,286.6666666666667,0.0,0.0,0.91,1,0.0,20.36,Low,No,Continue routine monitoring,2026-03-29T15:06:26,2026-03-29T15:06:26
Japan,JPN,EQ,Green,,,109.0,242.1919191919192,53860.28571428572,0.0,0.0,21.72,1,0.0,28.69,Low,No,Continue routine monitoring,2026-03-29T07:07:55,2026-03-29T07:07:55
Taiwan,TWN,EQ,Green,,,41.0,44.94444444444444,92135.45454545454,0.0,0.0,8.0,1,0.0,23.2,Low,No,Continue routine monitoring,2026-03-29T03:12:17,2026-03-29T03:12:17
Greece,GRC,EQ,Green,,,48.0,417.030303030303,5480.307692307692,0.0,0.0,12.27,1,0.0,24.91,Low,No,Continue routine monitoring,2026-03-29T03:01:58,2026-03-29T03:01:58
Thailand,THA,WF,Green,,,79.0,189.2295081967213,1235122.38028169,0.0,0.0,19.9,1,0.0,27.96,Low,No,Continue routine monitoring,2026-03-25T00:00:00,2026-03-29T00:00:00
Thailand,THA,WF,Green,,,79.0,189.2295081967213,1235122.38028169,0.0,0.0,19.9,1,0.0,27.96,Low,No,Continue routine monitoring,2026-03-24T00:00:00,2026-03-29T00:00:00
"Myanmar, Thailand",MMR,WF,Green,,,49.0,3366.3720930232557,242888.67441860464,0.0,0.0,39.53,1,0.0,35.81,Low,No,Continue routine monitoring,2026-03-24T00:00:00,2026-03-29T00:00:00
Thailand,THA,WF,Green,,,79.0,189.2295081967213,1235122.38028169,0.0,0.0,19.9,1,0.0,27.96,Low,No,Continue routine monitoring,2026-03-23T00:00:00,2026-03-29T00:00:00
Laos,LAO,WF,Green,,,27.0,17.88888888888889,204634.5909090909,0.0,0.0,5.65,1,0.0,22.26,Low,No,Continue routine monitoring,2026-03-23T00:00:00,2026-03-29T00:00:00
Laos,LAO,WF,Green,,,27.0,17.88888888888889,204634.5909090909,0.0,0.0,5.65,1,0.0,22.26,Low,No,Continue routine monitoring,2026-03-22T00:00:00,2026-03-29T00:00:00
Laos,LAO,WF,Green,,,27.0,17.88888888888889,204634.5909090909,0.0,0.0,5.65,1,0.0,22.26,Low,No,Continue routine monitoring,2026-03-22T00:00:00,2026-03-29T00:00:00
Myanmar,MMR,WF,Green,,,49.0,3366.3720930232557,242888.67441860464,0.0,0.0,39.53,1,0.0,35.81,Low,No,Continue routine monitoring,2026-03-21T00:00:00,2026-03-29T00:00:00
Myanmar,MMR,WF,Green,,,49.0,3366.3720930232557,242888.67441860464,0.0,0.0,39.53,1,0.0,35.81,Low,No,Continue routine monitoring,2026-03-20T00:00:00,2026-03-29T00:00:00
India,IND,WF,Green,,,181.0,524.5260115606936,8888767.798449613,0.0,0.0,66.85,1,0.0,46.74,Medium,No,Prepare response resources,2026-03-22T00:00:00,2026-03-29T00:00:00
Myanmar,MMR,WF,Green,,,49.0,3366.3720930232557,242888.67441860464,0.0,0.0,39.53,1,0.0,35.81,Low,No,Continue routine monitoring,2026-03-19T00:00:00,2026-03-29T00:00:00
Myanmar,MMR,WF,Green,,,49.0,3366.3720930232557,242888.67441860464,0.0,0.0,39.53,1,0.0,35.81,Low,No,Continue routine monitoring,2026-03-19T00:00:00,2026-03-29T00:00:00
Laos,LAO,WF,Green,,,27.0,17.88888888888889,204634.5909090909,0.0,0.0,5.65,1,0.0,22.26,Low,No,Continue routine monitoring,2026-03-19T00:00:00,2026-03-29T00:00:00
Myanmar,MMR,WF,Green,,,49.0,3366.3720930232557,242888.67441860464,0.0,0.0,39.53,1,0.0,35.81,Low,No,Continue routine monitoring,2026-03-18T00:00:00,2026-03-29T00:00:00
Thailand,THA,WF,Green,,,79.0,189.2295081967213,1235122.38028169,0.0,0.0,19.9,1,0.0,27.96,Low,No,Continue routine monitoring,2026-03-18T00:00:00,2026-03-29T00:00:00
Bangladesh,BGD,WF,Green,,,106.0,120.76288659793815,1930943.574468085,0.0,0.0,26.44,1,0.0,30.58,Low,No,Continue routine monitoring,2026-03-24T00:00:00,2026-03-29T00:00:00
Venezuela,VEN,WF,Green,,,30.0,22.142857142857142,77954.6,0.0,0.0,5.79,1,0.0,22.32,Low,No,Continue routine monitoring,2026-03-25T00:00:00,2026-03-29T00:00:00
Myanmar,MMR,WF,Green,,,49.0,3366.3720930232557,242888.67441860464,0.0,0.0,39.53,1,0.0,35.81,Low,No,Continue routine monitoring,2026-03-24T00:00:00,2026-03-29T00:00:00
Thailand,THA,WF,Green,,,79.0,189.2295081967213,1235122.38028169,0.0,0.0,19.9,1,0.0,27.96,Low,No,Continue routine monitoring,2026-03-23T00:00:00,2026-03-29T00:00:00
Thailand,THA,WF,Green,,,79.0,189.2295081967213,1235122.38028169,0.0,0.0,19.9,1,0.0,27.96,Low,No,Continue routine monitoring,2026-03-23T00:00:00,2026-03-29T00:00:00
Myanmar,MMR,WF,Green,,,49.0,3366.3720930232557,242888.67441860464,0.0,0.0,39.53,1,0.0,35.81,Low,No,Continue routine monitoring,2026-03-23T00:00:00,2026-03-29T00:00:00
